start,end,text
4.49,7.07,hello love unicorns
7.08,9.98,hello love unicorns channel tutorial
9.99,11.45,channel tutorial similar april
11.46,14.27,similar april favorites got requests
14.28,17.09,favorites got requests tutorial thought
17.1,18.85,tutorial thought
18.86,22.37,similar exact thing
22.38,24.82,similar exact thing technique used
24.83,28.13,technique used specific mix
28.14,32.54,specific mix mats create purple red burgundy
32.55,36.02,mats create purple red burgundy mix
36.03,38.54,mix tutorial mixed mores
38.55,41.2,tutorial mixed mores makeup geek shadow
41.21,44.33,makeup geek shadow cupcakes monsters palette
44.34,46.97,cupcakes monsters palette suva beauty
46.98,50.86,suva beauty purple purple
50.87,53.9,purple purple called funny face funny face
53.91,56.24,called funny face funny face funny funny funny eyeshadow
56.25,58.27,funny funny funny eyeshadow mix colors
58.28,61.97,mix colors create red purple eyeshadow
61.98,64.93,create red purple eyeshadow looking eyeshadow
64.94,66.62,looking eyeshadow color long time
66.63,68.87,color long time haven't
68.88,71.45,haven't screw mixing youngy
71.46000000000002,73.31,screw mixing youngy dip brush
73.32,75.1,dip brush dip brush second
75.11,77.17,dip brush second blend eye
77.18,79.21000000000002,blend eye use technique
79.22,81.26,use technique change choice shadow
81.27,83.21000000000002,change choice shadow color
83.22,85.6,color matt ones recommend
85.61,87.59,matt ones recommend green
87.6,91.03,green yellow brown
91.04,93.41,yellow brown orange use
93.42,95.59,orange use technique mix eye get
95.6,98.77,technique mix eye get get color hoping
98.78,102.8,get color hoping get making sense
102.81,104.81,get making sense isn't exact
104.82,107.45,isn't exact
107.46,110.14,used blue
110.15,112.31,used blue eyeliner instead used insomnia
112.32,114.44,eyeliner instead used insomnia make key wanted switch
114.45,117.2,make key wanted switch similar
117.21,120.1,similar exact thing
120.11,122.24,exact thing requesting
122.25,125.78,requesting fun recreating cuz
125.79,128.77,fun recreating cuz didnt rly
128.78,130.4,didnt rly
130.41,132.68,looking
132.69,133.97,looking mirror mean
133.98,135.59,mirror mean everyday perfect
135.6,139.22,everyday perfect night dinner
139.23,140.62,night dinner fun makeup
140.63,143.09,fun makeup day wearing
143.1,146.81,day wearing saying
146.82,147.95,saying forget
147.96,149.45,forget subscribe way think
149.46,153.56,subscribe way think time bye
153.57,155.06,time bye ready go eyeshadow get
155.07,157.13,ready go eyeshadow get place
157.14,158.57,place starting cupcake makeup
158.57999999999996,160.52,starting cupcake makeup geek love color
160.53,163.37,geek love color beautiful warm pink using
163.38,166.19,beautiful warm pink using crease blending
166.2,168.26,crease blending get blown love
168.27,171.65,get blown love cupcake crease transition color
171.66,173.57,cupcake crease transition color working purple's
173.57999999999996,175.7,working purple's mix good
175.71,178.37,mix good mixing funny face mars funny
178.38,180.05,mixing funny face mars funny faces cupcakes monsters
180.06,182.69,faces cupcakes monsters palette sua beauty
182.7,184.25,palette sua beauty dipping brush
184.26,185.66,dipping brush dipping brush
185.67,188.33,dipping brush blending lid creating
188.34,191.27,blending lid creating gorgeous purple maroon burgundy
191.28,194.18,gorgeous purple maroon burgundy color putting outer
194.19,196.13,color putting outer lid crease inner
196.14,197.84,lid crease inner lid increase
197.85,200.09,lid increase carefully blending
200.1,201.98,carefully blending additional product crease
201.99,204.94,additional product crease leaving middle lid bear
204.95,207.8,leaving middle lid bear color
207.81,210.02,color times
210.03,211.82,times blending using
211.83,214.01,blending using fluffy brush product
214.02,217.01,fluffy brush product soften edges
217.02,218.54,soften edges eye
218.55,221.44,eye speeding outer
221.45,225.08,speeding outer putting inner
225.09,227.44,putting inner carefully blending
227.45,230.33,carefully blending middle using
230.34,233.72,middle using fluffy brush
233.73,236.03,fluffy brush product deepening
236.04,237.94,product deepening edges make
237.95,241.22,edges make dramatic get moroni
241.23,243.86,dramatic get moroni color burgundy loveliness
243.87,247.64,color burgundy loveliness taking barcelona beach
247.65,249.14,taking barcelona beach fluffy brush blending edges
249.15,251.24,fluffy brush blending edges make seamless
251.25,253.52,make seamless pretty color skin
253.53,255.17,pretty color skin good tip feel edges
255.18,258.92,good tip feel edges o harsh taking
258.93,260.3,o harsh taking math color cupcake
260.31,261.77,math color cupcake monsters palette putting
261.78,264.08,monsters palette putting brow bone lighten
264.09,266.72,brow bone lighten taking insomnia
266.73,268.87,taking insomnia fix putting middle
268.88,271.76,fix putting middle insomnia beautiful dual chrome
271.77,274.87,insomnia beautiful dual chrome color gorgeous wanted
274.88,277.12,color gorgeous wanted burgundy
277.13,280.31,burgundy movie foley think go
280.32,282.29,movie foley think go good
282.3,284.24,good carefully blending
284.25,287.99,carefully blending harsh
288.0,289.58,harsh flat
289.5900000000001,291.86,flat definer brush mixing funny face
291.87,294.37,definer brush mixing funny face mars underneath eye get
294.38,296.42,mars underneath eye get smoke definition under
296.43,302.03,smoke definition under eye
302.04,304.25,eye matte white
304.26,306.89,matte white putting lot inner corner
306.9,308.27,putting lot inner corner fluffy
308.28,310.31,fluffy brush blend upwards downwards
310.32,312.59,brush blend upwards downwards good tip open
312.6,315.74,good tip open eyes lot
315.75,317.6,eyes lot putting
317.61,319.79,putting lot
319.8,322.64,lot fluffy brush blending
322.65,326.45,fluffy brush blending opens ice
326.46,328.55,opens ice taking full spectrum liner
328.56,330.92,taking full spectrum liner makeup geek premiere love
330.93,332.69,makeup geek premiere love gorgeous putting
332.7,335.77,gorgeous putting waterline go
335.78,339.02,waterline go liquid liner using blue
339.03,340.67,liquid liner using blue liquid liner sephora
340.68,343.58,liquid liner sephora brand using create
343.5900000000001,347.69,brand using create winged liner went
347.7,351.17,winged liner went times end
351.18,354.2,times end get opaque
354.21,356.09000000000015,get opaque colorful shadow underneath
356.1,358.07,colorful shadow underneath wanted contrast
358.08,360.4,wanted contrast reds blues go
360.41,364.7,reds blues go wanted clash
364.71,366.52,wanted clash liked
366.53,368.24,liked turned time lashes
368.25,369.8,turned time lashes smoking used house
369.81,371.84,smoking used house lashes love lashes
371.85,389.74,lashes love lashes finished
